id,class,c1,c2,c3,c4,c5,c6,c8,c9,c14,c17,c18,c20,c22,c23,c27,c32,c40,c43,c46,c47,c48,c54,c55,c56,c57,c58,c59,c60
59,545988074,-1035077148,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,П,К,Э,Э,л,(РЕ)
60,545988074,-1035077148,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,Пс,К,Э,Э,л,(РЕ)
61,545988074,749547543,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,П,К,Э,Э,л,(РЕ)
62,545988074,749547543,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,Пс,К,Э,Э,л,(РЕ)
63,545988074,-758644574,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,0,В,К,Э,Э,л,(РЕ)
64,545988074,-89702313,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,В,К,Э,Э,л,(РЕ)
65,545988074,-89702313,1040736,0,левое,50,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,Т,К,Э,Э,л,(РЕ)
66,545988074,-577854631,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,В,К,Э,Э,л,(РЕ)
67,545988074,-577854631,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,Пс,К,Э,Э,л,(РЕ)
68,545988074,-722874853,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,В,К,Э,Э,л,(РЕ)
69,545988074,-722874853,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,Пс,К,Э,Э,л,(РЕ)
70,545988074,-1518156147,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,В,К,Э,Э,л,(РЕ)
71,545988074,-1518156147,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,Пс,К,Э,Э,л,(РЕ)
72,545988074,-1468633497,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,В,К,Э,Э,л,(РЕ)
73,545988074,-1468633497,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,Пс,К,Э,Э,л,(РЕ)
74,545988074,-1082317950,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,П,К,Э,Э,л,(РЕ)
75,545988074,-1082317950,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,Пс,К,Э,Э,л,(РЕ)
76,545988074,1746197231,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,П,К,Э,Э,л,(РЕ)
77,545988074,1746197231,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,Пс,К,Э,Э,л,(РЕ)
78,545988074,-2022619466,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,П,К,Э,Э,л,(РЕ)
79,545988074,-2022619466,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,Пс,К,Э,Э,л,(РЕ)
80,545988074,1761138403,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,П,К,Э,Э,л,(РЕ)
81,545988074,1761138403,1040736,0,левое,30,250.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,Пс,К,Э,Э,л,(РЕ)
82,545988074,-578661768,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,0,В,К,Э,Э,л,(РЕ)
83,545988074,-141440989,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,В,К,Э,Э,л,(РЕ)
84,545988074,-141440989,1040736,0,левое,50,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,Т,К,Э,Э,л,(РЕ)
85,545988074,-1265566495,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,В,К,Э,Э,л,(РЕ)
86,545988074,-1265566495,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,Пс,К,Э,Э,л,(РЕ)
87,545988074,530870751,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,В,К,Э,Э,л,(РЕ)
88,545988074,530870751,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,Пс,К,Э,Э,л,(РЕ)
89,545988074,1890689837,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,В,К,Э,Э,л,(РЕ)
90,545988074,1890689837,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,Пс,К,Э,Э,л,(РЕ)
91,545988074,-1155753965,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,В,К,Э,Э,л,(РЕ)
92,545988074,-1155753965,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,Пс,К,Э,Э,л,(РЕ)
93,545988074,103633816,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,П,К,Э,Э,л,(РЕ)
94,545988074,103633816,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,Пс,К,Э,Э,л,(РЕ)
95,545988074,2134538891,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,П,К,Э,Э,л,(РЕ)
96,545988074,2134538891,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,Пс,К,Э,Э,л,(РЕ)
97,545988074,-1035077148,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,П,К,Э,Э,л,(РЕ)
98,545988074,-1035077148,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198316,Пс,К,Э,Э,л,(РЕ)
99,545988074,749547543,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,П,К,Э,Э,л,(РЕ)
100,545988074,749547543,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1386543199,Пс,К,Э,Э,л,(РЕ)
101,545988074,-758644574,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,0,В,К,Э,Э,л,(РЕ)
102,545988074,-89702313,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,В,К,Э,Э,л,(РЕ)
103,545988074,-89702313,1040736,0,левое,50,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1034116331,Т,К,Э,Э,л,(РЕ)
104,545988074,-577854631,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,В,К,Э,Э,л,(РЕ)
105,545988074,-577854631,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751703,Пс,К,Э,Э,л,(РЕ)
106,545988074,-722874853,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,В,К,Э,Э,л,(РЕ)
107,545988074,-722874853,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-718884441,Пс,К,Э,Э,л,(РЕ)
108,545988074,-1518156147,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,В,К,Э,Э,л,(РЕ)
109,545988074,-1518156147,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,1639198453,Пс,К,Э,Э,л,(РЕ)
110,545988074,-1468633497,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,В,К,Э,Э,л,(РЕ)
111,545988074,-1468633497,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-416966437,Пс,К,Э,Э,л,(РЕ)
112,545988074,-1082317950,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,П,К,Э,Э,л,(РЕ)
113,545988074,-1082317950,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-440751840,Пс,К,Э,Э,л,(РЕ)
114,545988074,1746197231,1040736,0,левое,30,150.0,0.0,0,"0,20","88,8","88,8",МТ,1.0,0.5,1,1.0,1.0,18,30.0,16.0,1.0,-1339337773,П,К,Э,Э,л,(РЕ)
